0.324,0.485,0.763,0.601,0.339,0.753,0.473,0.223,0.882,0.734,0.235,0.62,1999,56
0.705,0.765,0.74,0.572,0.37,0.788,0.697,0.32,0.796,0.714,0.466,0.339,1994,56
0.587,0.634,0.297,0.236,0.683,0.628,0.201,0.527,0.821,0.789,0.163,0.685,1964,59
0.682,0.907,0.802,0.078,0.159,0.542,0.512,0.308,0.741,0.407,0.171,0.207,1931,64
0.758,0.696,0.778,0.332,0.838,0.343,0,0.467,0.63,0.742,0.121,0.1,1906,74
0.214,0.242,0.433,0.453,0.656,0.341,0.259,0.199,0.654,0.69,0.177,0.175,1892,78
0.227,0.788,0.29,0.506,0.871,0.279,0.388,0.481,0.666,0.977,0.696,0.576,1892,80
0.733,0.69,0.443,0.295,0.334,0.168,0.267,0.565,0.548,0.795,0.317,0.622,1816,91
0.603,0.325,0.72,0.174,0.731,0.755,0.379,0.574,0.608,0.585,0.14,0.357,1813,96
0.455,0.715,0.148,0.228,0.745,0.329,0.53,0.472,0.259,0.209,0.249,0.438,1796,98
0.238,0.87,0.405,0.751,0.733,0.713,0.219,0.319,0.705,0.719,0.2,0.258,1796,98
0.137,0.898,0.616,0.513,0.524,0.169,0.309,0.358,0.312,0.791,0.328,0.46,1788,99
0.896,0.669,0.313,0.632,0.493,0.805,0.651,0.484,0.914,0.786,0.197,0.388,1784,103
0.742,0.811,0.26,0.389,0.742,0.929,0.732,0.233,0.627,0.534,0.663,0.362,1770,104
0.85,0.876,0.788,0.8,0.681,0.356,0.175,0.509,0.785,0.338,0.219,0.502,1748,104
0.687,0.258,0.398,0.709,0.556,0.195,0.323,0.481,0.772,0.725,0.704,0.255,1738,110
0.7,0.822,0.582,0.756,0.358,0.157,0.192,0.334,0.538,0.729,0.527,0.472,1736,115
0.321,0.708,0.379,0.567,0.691,0.187,0.591,0.777,0.614,0.61,0.245,0.561,1721,122
0.695,0.479,0.308,0.173,0.886,0.266,0.333,0.454,0.194,0.497,0.593,0.329,1713,123
0.753,0.399,0.599,0.565,0.418,0.384,0.596,0.271,0.895,0.712,0.239,0.432,1710,124
0.75,0.282,0.458,0.729,0.446,0,0.112,0.48,0.67,0.828,0.2,0.263,1706,134
0.712,0.826,0.281,0.591,0.758,0.223,0.419,0.46,0.53,0.347,0.233,0.749,1697,137
0.691,0.319,0.104,0.342,0.343,0.281,0.69,0.458,0.708,0.844,0.785,0.249,1651,139
0.386,0.272,0.162,0.376,0.613,0.337,0.48,0.701,0.723,0.693,0.212,0.218,1645,141
0.647,0.526,0.153,0.424,0.448,0.132,0.618,0.711,0.169,0.472,0.664,0.251,1570,141
0.756,0.75,0.487,0.77,0.289,0.176,0.388,0.08,0.757,0.689,0.512,0.423,1537,142
0.418,0.783,0.393,0.373,0.842,0.143,0.234,0.333,0.477,0.16,0.797,0.686,1510,142
0.693,0.748,0.529,0.773,0.849,0.542,0.099,0.783,0.347,0.801,0.828,0.136,1503,144
0.141,0.725,0.328,0.815,0.736,0.289,0.852,0.783,0.635,0.729,0.833,0.568,1470,145
0.726,0.142,0.353,0.534,0.704,0.175,0.526,0.309,0.722,0.106,0.743,0.357,1446,148
0.135,0.668,0.607,0.766,0.76,0.741,0.398,0.644,0.797,0.816,0.195,0.68,1439,148
0.894,0.28,0.295,0.742,0.571,0.252,0.81,0.471,0.599,0.517,0.313,0.287,1430,149
0.197,0.698,0.744,0.514,0.695,0.293,0.15,0.224,0.422,0.366,0.313,0,1427,151
0.689,0.689,0.629,0.38,0.303,0.108,0.438,0.907,0.561,0.719,0.53,0.648,1395,154
0.787,0.801,0.126,0.52,0.2,0.17,0.864,0.441,0.521,0.178,0.594,0.412,1393,154
0.709,0.645,0.564,0.658,0.566,0.191,0.285,0.611,0.37,0.73,0.24,0.195,1387,155
0.615,0.596,0.703,0.237,0.381,0.104,0.158,0.281,0.697,0.243,0.605,0.321,1370,156
0.344,0.244,0.217,0.423,0.44,0.761,0.21,0.57,0.793,0.231,0.293,0.477,1348,156
0.692,0.863,0.782,0.4,0.829,0.406,0.162,0.639,0.829,0.149,0.252,0.342,1283,157
0.379,0.894,0.285,0.419,0.447,0.73,0.3,0.737,0.508,0.539,0.501,0.199,1280,159
0.619,0.228,0.313,0.268,0.529,0.178,0.721,0.182,0.21,0.67,0.687,0.488,1279,165
0.655,0.646,0.171,0.26,0.513,0.789,0.767,0.628,0.318,0.708,0.315,0.23,1270,169
0.805,0.679,0.282,0.838,0.205,0.555,0.243,0.828,0.656,0.391,0.67,0.213,1269,170
0.457,0.309,0.269,0.571,0.641,0.531,0.253,0.531,0.283,0.575,0.346,0.742,1233,171
0.736,0.175,0.669,0.56,0.63,0.254,0.311,0.603,0.34,0.174,0.196,0.242,1218,173
0.825,0.247,0.315,0.216,0.336,0.692,0.626,0.246,0.758,0.888,0.768,0.307,1217,173
0.469,0.678,0.674,0.648,0.833,0.152,0.624,0.55,0.604,0.301,0.392,0.461,1196,176
0.922,0.776,0.092,0.408,0.396,0.841,0.892,0.437,0.815,0.918,0.241,0.542,1195,177
0.753,0.856,0.629,0.676,0.241,0.151,0.538,0.248,0.83,0.475,0.238,0.754,1190,177
0.596,0.359,0.419,0.373,0.462,0.598,0.659,0.578,0.313,0.473,0.274,0.417,1186,179
0.245,0.76,0.367,0.404,0.827,0.335,0.227,0.396,0.735,0.684,0.706,0.49,1184,180
0.72,0.409,0.396,0.933,0.581,0.227,0.823,0.416,0.675,0.333,0.314,0.224,1181,182
0.325,0.545,0.654,0.312,0.342,0.839,0.207,0.281,0.46,0.759,0.363,0.522,1174,182
0.025,0.471,0.246,0.267,0.377,0.733,0.781,0.538,0.885,0.565,0.148,0.448,1167,184
0.077,0.921,0.271,0.825,0.253,0.257,0.279,0.475,0.601,0.448,0.637,0.564,1162,184
0.726,0.296,0.616,0.383,0.833,0.381,0.387,0.578,0.535,0.768,0.332,0.602,1157,187
0.419,0.815,0.199,0.618,0.711,0.301,0.287,0.513,0.536,0.853,0.714,0.482,1146,188
0.441,0.71,0.214,0.8,0.681,0.294,0.449,0.462,0.615,0.867,0.249,0.533,1127,192
0.696,0.477,0.747,0.717,0.722,0.525,0.753,0.348,0.71,0.991,0.211,0.34,1121,194
0.23,0.305,0.704,0.402,0.506,0.302,0.239,0.212,0.499,0.653,0.267,0.254,1120,195
0.266,0.773,0.768,0.715,0.669,0.325,0.244,0.317,0.542,0.793,0.883,0.315,1118,197
0.415,0.358,0.222,0.538,0.529,0.589,0.337,0.633,0.765,0.334,0.198,0.588,1108,202
0.595,0.802,0.792,0.509,0.5,0.304,0.294,0.39,0.398,0.289,0.705,0.267,1107,202
0.191,0.194,0.405,0.726,0.36,0.492,0.167,0.456,0.797,0.506,0.256,0.586,1097,202
0.241,0.776,0.61,0.171,0.401,0.836,0.782,0.396,0.919,0.728,0.151,0.697,1096,205
0.731,0.597,0.282,0.563,0.776,0.316,0.909,0.508,0.51,0.448,0.233,0.708,1094,206
0.642,0.839,0.317,0.897,0.288,0.328,0.195,0.254,0.659,0.269,0.525,0.19,1070,206
0.305,0.869,0.388,0.693,0.315,0.184,0.602,0.866,0.731,0.336,0.23,0.657,1069,206
0.721,0.748,0.704,0.536,0.792,0.269,0.638,0.881,0.761,0.446,0.797,0.739,1045,207
0.814,0.29,0.496,0.334,0.411,0.242,0.332,0.545,0.137,0.232,0.201,0.836,1016,209
0.327,0.704,0.446,0.432,0.552,0.739,0.3,0.331,0.323,0.325,0.197,0.334,1015,212
0.304,0.864,0.364,0.173,0.255,0.334,0.695,0.467,0.512,0.468,0.792,0.517,1014,213
0.249,0.689,0.556,0.482,0.65,0.675,0.633,0.25,0.414,0.536,0.685,0.401,1004,222
0.608,0.425,0.816,0.22,0.419,0.593,0.202,0.41,0.602,0.14,0.231,0.223,1004,226
0.251,0.251,0.436,0.759,0.648,0.183,0.663,0.686,0.663,0.67,0.115,0.411,1002,227
0.283,0.626,0.434,0.526,0.728,0.76,0.621,0.959,0.707,0.469,0.909,0.181,991,227
0.54,0.319,0.466,0.36,0.247,0.278,0.073,0.286,0.479,0.237,0.402,0.096,984,228
0.34,0.271,0.194,0.381,0.658,0.257,0.385,0.806,0.22,0.728,0.808,0.374,975,229
0.204,0.21,0.364,0.539,0.456,0.301,0.658,0.517,0.735,0.347,0.205,0.772,957,230
0.798,0.726,0.377,0.313,0.375,0.545,0.153,0.747,0.269,0.42,0.676,0.359,955,234
0.762,0.291,0.136,0.477,0.527,0.946,0.837,0.59,0.353,0.337,0.168,0.629,946,235
0.396,0.245,0.512,0.307,0.439,0.187,0.675,0.726,0.187,0.605,0.39,0.601,904,236
0.19,0.755,0.249,0.342,0.371,0.65,0.522,0.393,0.287,0.694,0.525,0.433,890,239
0.217,0.634,0.708,0.193,0.347,0.704,0.503,0.809,0.659,0.651,0.253,0.723,870,244
0.605,0.179,0.345,0.748,0.872,0.252,0.307,0.085,0.227,0.575,0.512,0.378,861,244
0.296,0.781,0.755,0.428,0.181,0.182,0.44,0.87,0.215,0.058,0.259,0.713,854,252
0.275,0.587,0.822,0.199,0.543,0.75,0.252,0.615,0.611,0.155,0.263,0.239,854,253
0.223,0.324,0.406,0.521,0.442,0.758,0.642,0.993,0.22,0.225,0.326,0.508,836,253
0.15,0.713,0.532,0.37,0.336,0.771,0.62,0.337,0.285,0.291,0.738,0.131,820,259
0.175,0.694,0.821,0.4,0.149,0.821,0.383,0.651,0.604,0.533,0.813,0.535,819,261
0.897,0.178,0.696,0.335,0.515,0.743,0.472,0.875,0.723,0.81,0.486,0.222,818,262
0.5,0.63,0.757,0.511,0.35,0.745,0.35,0.29,0.509,0.669,0.312,0.546,813,280
0.285,0.174,0.252,0.344,0.434,0.143,0.681,0.688,0.853,0.231,0.855,0.733,810,283
0.525,0.764,0.257,0.231,0.868,0.262,0.3,0.704,0.44,0.257,0.727,0.613,806,289
0.646,0.795,0.675,0.26,0.599,0.883,0.58,0.769,0.231,0.481,0.754,0.259,806,290
0.319,0.206,0.43,0.428,0.467,0.158,0.445,0.368,0.175,0.628,0.926,0.46,798,295
0.192,0.72,0.561,0.715,0.365,0.221,0.666,0.639,0.889,0.442,0.202,0.725,787,299
0.434,0.278,0.696,0.582,0.804,0.208,0.448,0.226,0.784,0.203,0.706,0.388,784,302
0.224,0.235,0.628,0.154,0.326,0.232,0.182,0.693,0.519,0.421,0.176,0.769,781,309
0.173,0.8,0.329,0.776,0.59,0.808,0.274,0.608,0.576,0.359,0.825,0.563,779,312
0.201,0.606,0.736,0.558,0.58,0.247,0.585,0.394,0.571,0.581,0.533,0.213,770,315
0.362,0.379,0.849,0.546,0.615,0.252,0.495,0.852,0.771,0.273,0.71,0.262,765,318
0.229,0.742,0.674,0.715,0.671,0.851,0.536,0.665,0.784,0.209,0.216,0.404,757,319
0.242,0.838,0.676,0.477,0.753,0.847,0.744,0.661,0.496,0.41,0.853,0.656,753,331
0.421,0.245,0.69,0.686,0.518,0.746,0.244,0.934,0.735,0.713,0.698,0.459,748,331
0.311,0.638,0.842,0.588,0.881,0.251,0.645,0.678,0.778,0.391,0.45,1,746,334
0.387,0.339,0.482,0.634,0.388,0.645,0.65,0.348,0.327,0.737,0.783,0.306,741,334
0.529,0.551,0.15,0.353,0.467,0.66,0.699,0.783,0.313,0.376,0.286,0.26,740,338
0.594,0.461,0.322,0.64,0.284,0.807,0.337,0.378,0.199,0.608,0.392,0.481,737,339
0.295,0.818,0.29,0.51,0.2,0.952,0.161,0.712,0.438,0.706,0.75,0.483,729,339
0.191,0.629,0.69,0.359,0.513,0.653,0.684,0.479,0.341,0.322,0.282,0.281,714,343
0.471,0.786,0.237,0.765,0.829,0.289,0.823,0.519,0.659,0.241,0.28,0.578,710,347
0.567,0.761,0.426,0.567,0.839,0.075,0.9,0.353,0.259,0.814,0.77,0.522,703,349
0.58,0.237,0.407,0.35,0.676,0.811,0.52,0.679,0.938,0.377,0.691,0.57,702,352
0.226,0.815,0.862,0.68,0.791,0.234,0.606,0.305,0.799,0.278,0.339,0.746,689,372
0.418,0.182,0.7,0.824,0.723,0.765,0.562,0.541,0.852,0.761,0.32,0.354,685,387
0.366,0.359,0.491,1,0.833,0.11,0.702,0.665,0.688,0.322,0.801,0.606,667,387
0.295,0.776,0.849,0.579,0.439,0.58,0.282,0.705,0.346,0.39,0.793,0.78,654,388
0.27,0.196,0.47,0.223,0.273,0.27,0.263,0.553,0.632,0.52,0.281,0.755,634,388
0.427,0.186,0.287,0.533,0.519,0.262,0.873,0.707,0.047,0.394,0.703,0.78,632,389
0.456,0.31,0.548,0.551,0.428,0.749,0.389,0.819,0.464,0.934,0.411,0.528,610,391
0.357,0.298,0.37,0.6,0.279,0.781,0.637,0.619,0.421,0.725,0.759,0.339,609,392
0.207,0.217,0.683,0.159,0.761,0.461,0.706,0.474,0.798,0.264,0.728,0.623,604,398
0.449,0.192,0.731,0.043,0.52,0.745,0.587,0.472,0.761,0.668,0.219,0.659,602,405
0.201,0.725,0.624,0.651,0.269,0.784,0.321,0.475,0.647,0.659,0.682,0.522,600,409
0.186,0.662,0.576,0.567,0.257,0.339,0.298,0.424,0.508,0.446,0.903,0.763,597,416
0.448,0.196,0.488,0.599,0.643,0.65,0.817,0.696,0.303,0.879,0.703,0.656,592,418
0.631,0.698,0.797,0.701,0.2,0.113,0.595,0.925,0.632,0.191,0.278,0.318,591,435
0.624,0.117,0.457,0.508,0.319,0.285,0.635,0.891,0.107,0.51,0.508,0.31,586,437
0.406,0.116,0.814,0.771,0.49,0.231,0.667,0.767,0.717,0.652,0.79,0.804,583,437
0.513,0.355,0.465,0.224,0.423,0.895,0.816,0.763,0.482,0.567,0.746,0.666,579,447
0.3,0.217,0.46,0.341,0.532,0.289,0.844,0.596,0.279,0.488,0.364,0.641,577,454
0.189,0.16,0.912,0.891,0.722,0.442,0.536,0.564,0.749,0.235,0.826,0.596,575,456
0.586,0.644,0.362,0.649,0.913,0.457,0.472,0.764,0,0.33,0.88,0.345,575,459
0.328,0.166,0.268,0.179,0.438,0.678,0.701,0.25,0.262,0.779,0.63,0.755,567,463
0.682,0.184,0.599,0.55,0.721,0.67,0.221,0.683,0.689,0.924,0.807,0.649,562,464
0.615,0.559,0.223,0.598,0.703,0.54,0.453,0.8,0.251,0.407,0.244,0.694,561,468
0.498,0.777,0.513,0.81,0.809,0.215,0.666,0.407,0.415,0.287,0.715,0.54,561,469
0.57,0.273,0.459,0.35,0.566,0.724,0.272,0.672,0.208,0.204,0.031,0.573,560,470
0.375,0.208,0.27,0.483,0.452,0.176,0.78,0.505,0.724,0.788,0.754,0.741,553,480
0.421,0.169,0.692,0.713,0.681,0.269,0.15,0.278,0.609,0.295,0.369,0.281,550,492
0.566,0.775,0.579,0.859,0.282,0.807,0.511,0.669,0.82,0.343,0.263,0.498,548,498
0.772,0.593,0.78,0.203,0.574,0.73,0.786,0.514,0.512,0.261,0.215,0.171,547,498
0.667,0.652,0.512,0.46,0.487,0.834,0.749,0.762,0.637,0.528,0.95,0.642,546,510
0.292,0.304,0.486,0.341,0.189,0.216,0.79,0.151,0.314,0.616,0.332,0.347,543,519
0.767,0.672,0.255,0.645,0.276,0.289,0.128,0.51,0.52,0.298,0.459,0.73,539,525
0.375,0.562,0.681,0.189,0.875,0.666,0.607,0.518,0.428,0.438,0.311,0.759,538,544
0.232,0.419,0.389,0.722,0.682,0.864,0.566,0.365,0.721,0.83,0.246,0.728,537,545
0.667,0.243,0.422,0.556,0.584,0.738,0.786,0.744,0.812,0.275,0.236,0.359,535,562
0.841,0.669,0.129,0.621,0.214,0.187,0.249,0.752,0.329,0.244,0.763,0.455,534,562
0.517,0.202,0.537,0.506,0.441,0.723,0.419,0.55,0.735,0.309,0.469,0.419,534,573
0.532,0.297,0.796,0.643,0.656,0.84,0.568,0.579,0.703,0.257,0.317,0.405,534,576
0.453,0.727,0.572,0.764,0.505,0.874,0.739,0.907,0.354,0.357,0.957,0.502,530,578
0.616,0.248,0.374,0.77,0.537,0.736,0.573,0.946,0.222,0.343,0.943,0.579,525,579
0.273,0.754,0.693,0.576,0.294,0.265,0.677,0.404,0.261,0.391,0.792,0.604,521,580
0.507,0.754,0.817,0.248,0.277,0.693,0.542,0.616,0.651,0.171,0.293,0.641,521,580
0.691,0.343,0.31,0.462,0.421,0.371,0.767,0.787,0.602,0.809,0.671,0.82,520,588
0.724,0.153,0.41,0.767,0.453,0.748,0.534,0.815,0.738,0.097,0.74,0.56,517,592
0.238,0.679,0.813,0.798,0.165,0.136,0.7,0.335,0.192,0.334,0.36,0.512,517,600
0.497,0.648,0.19,0.541,0.22,0.751,0.49,0.609,0.723,0.223,0.306,0.63,517,642
0.578,0.568,0.35,0.517,0.186,0.909,0.679,0.605,0.748,0.335,0.171,0.45,515,643
0.386,0.231,0.403,0.383,0.224,0.731,0.309,0.446,0.273,0.268,0.258,0.695,515,643
0.545,0.34,0.517,0.57,0.279,0.744,0.74,0.758,0.416,0.258,0.819,0.371,513,650
0.201,0.202,0.833,0.692,0.737,0.833,0.53,0.157,0.659,0.281,0.249,0.443,512,651
0.736,0.221,0.517,0.617,0.412,0.654,0.51,0.809,0.879,0.151,0.596,0.415,511,652
0.338,0.622,0.285,0.618,0.762,0.272,0.69,0.072,0.484,0.584,0.672,0.597,511,653
0.671,0.858,0.455,0.694,0.668,0.977,0.435,0.677,0.309,0.567,0.78,0.1,511,656
0.811,0.156,0.766,0.333,0.565,0.247,0.671,0.608,0.54,0.318,0.298,0.539,510,658
0.449,0.217,0.231,0.605,0.639,0.826,0.518,0.34,0.434,0.643,0.671,0.437,508,661
0.447,0.33,0.208,0.658,0.534,0.834,0.339,0.245,0.374,0.352,0.119,0.7,507,681
0.726,0.304,0.76,0.407,0.168,0.228,0.227,0.377,0.212,0.514,0.178,0.567,506,688
0.388,0.356,0.355,0.503,0.39,0.725,0.593,0.365,0.156,0.185,0.769,0.489,504,700
0.879,0.64,0.343,0.602,0.639,0.352,0.451,0.722,0.156,0.396,0.76,0.45,504,707
0.372,0.333,0.277,0.482,0.899,0.689,0.504,0.266,0.463,0.318,0.884,0.682,503,722
0.356,0.257,0.26,0.817,0.305,0.749,0.609,0.134,0.564,0.301,0.577,0.348,502,733
0.311,0.184,0.66,0.346,0.742,0.662,0.161,0.1,0.385,0.305,0.762,0.547,502,733
0.42,0.157,0.497,0.678,0.58,0.753,0.644,0.255,0.308,0.681,0.81,0.274,502,742
0.726,0.717,0.954,0.175,0.14,0.231,0.38,0.405,0.252,0.246,0.284,0.924,502,742
0.755,0.798,0.779,0.93,0.304,0.781,0.513,0.191,0.727,0.257,0.219,0.503,501,751
0.553,0.191,0.407,0.33,0.575,0.704,0.609,0.309,0.537,0.352,0.812,0.724,501,769
0.414,0.262,0.709,0.144,0.167,0.816,0.467,0.215,0.737,0.21,0.616,0.288,501,779
0.615,0.219,0.62,0.426,0.449,0.224,0.448,0.393,0.238,0.239,0.269,0.69,500,794
0.622,0.291,0.848,0.573,0.591,0.202,0.79,0.387,0.218,0.266,0.39,0.217,500,800
0.681,0.182,0.799,0.756,0.524,0.205,0.462,0.437,0.738,0.686,0.713,0.691,500,800
0.616,0.818,0.708,0.393,0.373,0.632,0.683,0.242,0.327,0.719,0.562,0.362,500,800
0.465,0.65,0.232,0.605,0.143,0.69,0.523,0.163,0.622,0.145,0.243,0.731,500,800
0.57,0.244,0.344,0.524,0.263,0.887,0.447,0.271,0.542,0.363,0.693,0.317,500,800
0.825,0.802,0.796,0.65,0.789,0.834,0.544,0.485,0.612,0.346,0.458,0.755,500,800
0.475,0.17,0.743,0.495,0.132,0.5,0.583,0.374,0.627,0.166,0.794,0.826,500,800
0.71,0.306,0.401,0.347,0.195,0.686,0.724,0.135,0.538,0.68,0.745,0.507,500,800
0.64,0.415,0.716,0.535,0.212,0.208,0.551,0.183,0.167,0.492,0.43,0.615,500,800
